id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
1716	What is used for distillation of Scorch whisky?	Pot still	Column still	Solar still	Retort	Pot still	spirit	2	Multiple	11
1717	What barrels are often used for ageing Scotch whisky?	Sherry casks	Shiraz casks	Champagne casks	Barolo casks	Sherry casks	spirit	3	Multiple	11
1718	Where does Ardbeg produce whisky?	Islay	Speyside	Highland	Lowland	Islay	"spirit, somm"	4	Multiple	11
1719	Where does Glenfiddich produce whisky?	Speyside	Islay	Highland	Lowland	Speyside	"spirit, somm"	4	Multiple	11
1720	Where does the Macallan produce whisky?	Speyside	Islay	Highland	Lowland	Speyside	"spirit, somm"	4	Multiple	11
1721	Where does Bowmore produce whisky?	Islay	Speyside	Highland	Lowland	Islay	"spirit, somm"	4	Multiple	11
1722	What is the minimum abv for Tequila?	35%	40%	42%	44%	35%	spirit	4	Multiple	11
1723	What is the maximum abv for Tequila?	55%	40%	45%	50%	55%	spirit	4	Multiple	11
1724	What is the maximum abv for Tequila?	55%	60%	50%	65%	55%	spirit	4	Multiple	11
1725	What can be added to Tequila?	Glycerin	Bentonite	Barley	Rye	Glycerin	spirit	4	Multiple	11
1726	What is added to Tequila in order to change its colour?	Caramel	Sugarcane	Barley	Grapes	Caramel	spirit	4	Multiple	11
1727	What is the minimum ageing for Reposado Tequila?	2 months in oak or encino oak containers	4 months in stainless steel vat	6 months in oak or encino oak containers	12 months in stainless steel vat	2 months in oak or encino oak containers	spirit	4	Multiple	11
1728	Where is Tequila produced?	Mexico	Canada	Chile	Argentina	Mexico	spirit	2	Multiple	11
1729	Where is Tequila produced?	Mexico	USA	Brasil	Cuba	Mexico	spirit	2	Multiple	11
1730	Where is Mezcal produced?	Mexico	Chile	Samoa	Fiji	Mexico	spirit	2	Multiple	11
1731	What is the minimum ageing for Añejo Tequila?	1 year in oak or encino oak barrels	6 months in oak or encino oak containers	18 months in oak or encino oak containers	2 years in oak or encino oak barrels	1 year in oak or encino oak barrels	spirit	4	Multiple	11
1732	What is the minimum ageing for Extra Añejo Tequila?	3 years in oak or encino oak barrels	1 year in oak or encino oak barrels	2 years in oak or encino oak barrels	5 years in oak or encino oak barrels	3 years in oak or encino oak barrels	spirit	4	Multiple	11
1733	When was Tequila DO established?	1977	1967	1987	1997	1977	spirit	4	Multiple	11
1734	What is the maximum capacity of barrels used to produce Añejo Tequila?	600 liters	900 liters	500 liters	1200 litres	600 liters	spirit	4	Multiple	11
1735	What is the maximum capacity of barrels used to produce Extra Añejo Tequila?	600 liters	325 litres	1200 litres	3000 litres	600 liters	spirit	4	Multiple	11
1736	What state is Tequila produced?	Jalisco	Oaxaca	Guerrero	Zacatecas	Jalisco	spirit	4	Multiple	11
1737	What state is Tequila produced?	Guanajuato	Oaxaca	Guerrero	Zacatecas	Guanajuato	spirit	4	Multiple	11
1738	What state cannot produce Tequila?	Oaxaca	Jalisco	Nayarit	Tamaulipas	Oaxaca	spirit	4	Multiple	11
1739	What is the minimum abv for Mezcal?	35%	40%	42%	44%	35%	spirit	4	Multiple	11
1740	What is the maximum abv for Mezcal?	55%	40%	45%	50%	55%	spirit	4	Multiple	11
1741	What is the maximum abv for Mezcal?	55%	60%	50%	65%	55%	spirit	4	Multiple	11
1742	How is Madurado en Vidrio Mezcal aged?	In glass for 12 months in cool dark place.	In stainless steel for 12 months	In Sherry casks for 12 months	In Tequila casks for 24 months	In glass for 12 months in cool dark place.	spirit	4	Multiple	11
1743	What is the minimum ageing for Añejo Mezcal?	1 year in oak barrels	2 years in oak barrels	3 years in oak barrels	5 years in oak barrels	1 year in oak barrels	spirit	4	Multiple	11
1744	What is the minimum ageing for Reposado Mezcal?	2 months in oak barrels	6 months in oak barrels	12 months in oak barrels	18 months in oak barrels	2 months in oak barrels	spirit	4	Multiple	11
1745	What is used to produce Mezcal?	Agave	Barley	Corn	Grapes	Agave	spirit	2	Multiple	11
1746	What is used to produce Mezcal?	Agave	Wheat	Potatos	Rye	Agave	spirit	2	Multiple	11
1747	What spirit allows insects as an additive?	Mezcal	Scotch whisky	Japanese whisky	Rum	Mezcal	spirit	4	Multiple	11
1748	When was Mezcal DO established?	1994	1974	1984	2004	1994	spirit	4	Multiple	11
1749	Piña is part of…	Agave	Potato	Corn	Grape	Agave	spirit	4	Multiple	11
1750	Pit ovens are used to produce…	Mezcal	Rum	Cognac	Vodka	Mezcal	spirit	4	Multiple	11
1751	Where is Sotol spirit produced?	Mexico	Chile	Peru	Uruguay	Mexico	spirit	4	Multiple	11
1752	Where is Bacanora spirit produced?	Mexico	Greece	India	Israel	Mexico	spirit	4	Multiple	11
1753	What is not a sub-zone of armagnac?	Blanc Armagnac	Haut Armagnac	Bas Armagnac	Armagnac-Ténarèze	Blanc Armagnac	spirit	4	Multiple	11
1754	What is used to produce armagnac?	Grapes	Barley	Agave	Potatoes	Grapes	spirit	2	Multiple	11
1755	Armagnac is similar in production to…	Cognac	Calvados	Rum	Tequilla	Cognac	spirit	2	Multiple	11
1756	What grapes cannot be used to produce armagnac?	Pinot Blanc	Ugni Blanc	Colombard	Mauzac	Pinot Blanc	spirit	4	Multiple	11
1757	What grapes cannot be used to produce armagnac?	Merlot Blanc	Folle Blanche	Baco Blanc	Jurançon Blanc	Merlot Blanc	spirit	4	Multiple	11
1758	What grapes can be used to produce armagnac?	Blanc Dame	Chenin Blanc	Trebbiano	Marsanne	Blanc Dame	spirit	4	Multiple	11
1759	What is the minimum abv for armagnac?	40%	38%	42%	44%	40%	spirit	3	Multiple	11
1760	What is the minimum abv for armagnac?	40%	44%	48%	50%	40%	spirit	3	Multiple	11
1761	What grapes can be used to produce armagnac?	Ugni Blanc	Viura	Grillo	Chardonnay	Ugni Blanc	spirit	3	Multiple	11
1762	What is the allowed abv range for the base wine for armagnac production?	7.5 - 12%	6.5 - 12%	6.5 - 12.5%	7.5 - 13.5%	7.5 - 12%	spirit	4	Multiple	11
1763	What is the allowed abv range after the distillation for armagnac production?	52 - 72%	55 - 74%	80 - 94.8%	40 - 48%	52 - 72%	spirit	4	Multiple	11
1764	When does the distillation of armagnac needs to take place?	By March 31st of the year following the harvest	By June 30th of the year following the harvest	By August 31st of the year following the harvest	By September 30th of the year following the harvest	By March 31st of the year following the harvest	spirit	4	Multiple	11
1765	What cannot be added to armagnac for final adjustment and colouring?	Diacetyl	Sugar	Caramel	Oak Chips	Diacetyl	spirit	4	Multiple	11
1766	Where is armagnac spirit produced?	France	Germany	Italy	Canada	France	spirit	2	Multiple	11
1767	What is armagnac?	French spirit	Italian red wine	Australian sparkling Shiraz	Japanese sake	French spirit	spirit	2	Multiple	11
1768	What is the minimal ageing requirement for armagnac?	Minimum 1 year	Minimum 3 years	Minimum 5 years	Minimum 10 years	Minimum 1 year	spirit	3	Multiple	11
1769	Armagnac XO needs to be aged for minimum…	10 years	5 years	15 years	20 years	10 years	spirit	3	Multiple	11
1770	Armagnac XO Premium needs to be aged for minimum…	20 years	10 years	5 years	15 years	20 years	spirit	4	Multiple	11
1771	Vintage Armagnac needs to be aged for minimum of…	10 years in oak	15 years in oak	18 years in oak	20 years in oak	10 years in oak	spirit	4	Multiple	11
1772	What is the minimum planting density in vineyards destined for armagnac production?	"3,000 vines per hectare"	"5,000 vines per hectare"	"8,000 vines per hectare"	"10,000 vines per hectare"	"3,000 vines per hectare"	spirit	4	Multiple	11
1773	What is the maximum vine spacing in vineyards destined for armagnac production?	3 meters between rows	6 meters between rows	2 meters between rows	10 meters between rows	3 meters between rows	spirit	4	Multiple	11
1774	What is the maximum yield in vineyards destined for armagnac production?	12 hectoliters of pure alcohol per hectare	20 hectoliters of pure alcohol per hectare	6 hectoliters of pure alcohol per hectare	15 hectoliters of pure alcohol per hectare	12 hectoliters of pure alcohol per hectare	spirit	4	Multiple	11
1775	When Armagnac AOC was established?	1936	1942	1955	1929	1936	spirit	4	Multiple	11
1776	What is the minimum abv for calvados?	40%	38%	42%	44%	40%	spirit	3	Multiple	11
1777	Where is calvados produced?	France	Poland	Spain	Croatia	France	spirit	2	Multiple	11
1778	What is used for calvados production?	Apples	Potatos	Rye	Sugar cane	Apples	spirit	2	Multiple	11
1779	What is the minimum abv of the fermented cidre for calvados production?	4.5%	5.5%	4%	6%	4.5%	spirit	4	Multiple	11
1780	What cannot be added to armagnac for final adjustment and colouring?	Brandy	Sugar	Caramel	Oak Chips	Brandy	spirit	4	Multiple	11
1781	"What is the maximum ""Haute Tige"" apple trees spacing for calvados production?"	250 trees per hectare	350 trees per hectare	550 trees per hectare	850 trees per hectare	250 trees per hectare	spirit	4	Multiple	11
1782	"What is the maximum ""Haute Tige"" pear trees spacing for calvados production?"	150 trees per hectare	250 trees per hectare	100 trees per hectare	550 trees per hectare	150 trees per hectare	spirit	4	Multiple	11
1783	What is Kirsch de Fougerolles produced from?	Cherries	Apples	Pears	Plums	Cherries	spirit	3	Multiple	11
1784	What is the minimum abv for Kirsch de Fougerolles?	45%	40%	50.5%	55%	45%	spirit	4	Multiple	11
1785	What is the minimum fermentation time for Kirsch de Fougerolles?	5 weeks	2 weeks	8 weeks	10 weeks	5 weeks	spirit	4	Multiple	11
1786	When Kirsch de Fougerolles AOC was established?	2010	2002	2008	1997	2010	spirit	4	Multiple	11
1787	What grapes can be used to produce Marc d'Alsace AOC?	Gewürztraminer	Resling	Muscat	Pinot Gris	Gewürztraminer	spirit	4	Multiple	11
1788	What is the minimum abv for Marc d'Alsace AOC?	45%	42%	48%	55%	45%	spirit	4	Multiple	11
1789	What is the main taste contributor for gin flavour profile?	Juniper berries	Angelica seed	Angelica seed	Orange peel	Juniper berries	spirit	2	Multiple	11
1790	London Dry is a type of…	Gin	Tequilla	Scotch whisky	English beer	Gin	spirit	3	Multiple	11
1791	What is the model for Japanese whisky?	Scotch whisky 	Irish whisky	Bourbon	Canadian whisky	Scotch whisky 	spirit	3	Multiple	11
1792	Which is the best selling Irish whiskey in the world?	Jameson	Bushmills	Jura	Cooley	Jameson	"spirit, somm"	4	Multiple	11
1793	How much corn needs to be used to produce bourbon?	Min 51%	Min 55%	Min 70%	Min 75%	Min 51%	spirit	3	Multiple	11
1794	What is the main ingredient in bourbon production?	Corn	Agave	Grapes	Cherries	Corn	spirit	2	Multiple	11
1795	What is the minimum % of rye in a US rye whisky?	Min 51%	Min 45%	Min 72%	Min 60%	Min 51%	spirit	4	Multiple	11
1796	When was Kentucky's first whiskey distillery founded?	1789	1752	1819	1855	1789	spirit	4	Multiple	11
1797	What is the minimum ageing requirement for Canadian whisky?	3 years in barrel 	5 years in barrel 	2 years in barrel 	10 years in barrel	3 years in barrel 	spirit	4	Multiple	11
1798	What is the name of the column still for the first run used for bourbon production?	Beer still	Wine still	Cognac still	Kentucky still	Beer still	spirit	4	Multiple	11
1799	Backset is a term used in production of…	Bourbon	Sake	Gin	Vodka	Bourbon	spirit	4	Multiple	11
1800	What is the main grape used form cognac production?	Ugni blanc	Chenin Blanc	Chardonnay	Roussanne	Ugni blanc	spirit	3	Multiple	11
1801	Why Ugni Blanc is used for cognac production?	It is high in acid and low in sugar	It is high in tannins and low in sugar	It is high in acid and high in sugar	It is low in acid and high in sugar	It is high in acid and low in sugar	spirit	3	Multiple	11
1802	Where is Brandy de Jerez produced?	Spain	France	Portugal	Italy	Spain	spirit	2	Multiple	11
1803	What is Brandy de Jerez produced from?	Grapes	Apples	Cherries	Barley	Grapes	spirit	2	Multiple	11
1804	What Brandy de Jerez is?	Spanish spirit	Spanish fortified wine	Spanish sparkling wine	Spanish wine producer	Spanish spirit	spirit	2	Multiple	11
1805	What is the minimum ageing requirement for Brandy de Jerez Gran reserva?	3 years	5 years	2 years	10 years	3 years	spirit	4	Multiple	11
1806	What s the maximum content of Thujone in Absinthe?	35 mg/kg	50 mg/kg	80 mg/kg	100 mg/kg	35 mg/kg	spirit	4	Multiple	11
1807	What type of rice is generally considered the most superior for sake production?	Yamada Nishiki	Yamada Nishiki	Miyama Nishiki	Gohyakumangoku	Yamada Nishiki	somm	3	Multiple	11
1808	What is the highest quality level of sake available?	Junmai Daiginjo-shu	Daiginjo-shu	Honjozo-shu	Futsuu-shu	Junmai Daiginjo-shu	somm	3	Multiple	11
1809	What sake constitutes 80% of total production?	Futsuu-shu	Junmai Daiginjo-shu	Junmai Ginjo-shu	Ginjo-shu	Futsuu-shu	somm	3	Multiple	11
1810	What is the highest level of rice polishing in sake production?	Daiginjoshu	Ginjoshu	Honjozo	Junmaishu	Daiginjoshu	somm	4	Multiple	11
1811	"What rice is considered ""King of Sake Rice”?"	Yamada Nishiki	Oseto	Tamazakae	Dewa San San	Yamada Nishiki	somm	4	Multiple	11
1812	What is the IBU for Dunkleweizen?	10 - 15 IBUs	18 - 29 IBUs	20 - 25 IBUs	35 - 55 IBUs	10 - 15 IBUs	somm	3	Multiple	11
1813	What is the IBU for Porter?	20 - 40 IBUs	10 - 15 IBUs	40 - 60 IBUs	15 - 25 IBUs	20 - 40 IBUs	somm	3	Multiple	11
1814	What is the IBU for American Pale Ale?	28 - 45  IBUs	10 - 15 IBUs	3 - 5 BUs	18 - 23 IBUs	28 - 45  IBUs	somm	3	Multiple	11
1815	What is the IBU for American IPA?	40 - 70 IBUs	20 - 40 IBUs	28 - 45  IBUs	10 - 15 IBUs	40 - 70 IBUs	somm	3	Multiple	11
1816	Where is Cognac located?	North of Bordeaux	North of Alsace	South of Champagne	East of Provence	North of Bordeaux	spirit	2	Multiple	11
1817	What river runs through Cognac?	Charente	Loire	Dordogne	Seine	Charente	spirit	4	Multiple	11
1818	What is not one of the 4 major houses in Cognac today?	Otard	Remy Martin	Courvoisier	Hennessy	Otard	"spirit, somm"	4	Multiple	11
1819	What is not one of the designated growing areas in Cognac?	Ordinaires Petite	Grande Champagne	Petite Champagne	Bons Bois	Ordinaires Petite	spirit	3	Multiple	11
1820	What is prohibited from cognac production?	SO2	Water	Grapes	Caramel	SO2	spirit	4	Multiple	11
1821	What type of distillation is used when making Cognac?	Double pot distillation	Double column still distillation	Triple column still distillation	Single pot distillation	Double pot distillation	spirit	2	Multiple	11
1822	Where did charcoal filtration originate for vodka production?	Poland	Ukraine	France	Austria	Poland	spirit	4	Multiple	11
1823	What is an example of vodka made with pot stills?	Ketel One	Absolut	Żubrówka	Svedka	Ketel One	spirit	4	Multiple	11
1824	What is the bourbon mash bill?	The mix of grains	The mix yeast and corn	The mix of water and grains	The mix of grains and sugar	The mix of grains	spirit	4	Multiple	11
1825	What is backset in bourbon production?	The residue left after the first fermentation	The second hand barrels	The lightly toasted barrels	The water added to the distilled spirit	The residue left after the first fermentation	spirit	4	Multiple	11
1826	What is the minimum abv for gin in EU?	37.5%	40%	42%	35%	37.5%	spirit	4	Multiple	11
1827	Light marks and heavy marks are typical for the production of…	Rum	Calvados	Tequilla	Canadian whisky	Rum	spirit	4	Multiple	11
1828	Where is Cachasa produced?	Brazil	USA	Mexico	Samoa	Brazil	spirit	3	Multiple	11
1829	What is the classic Cachaca cocktail?	Caipirinha	Collins	Cosmopolitan	Cosmopolitan	Caipirinha	"somm, cocktail"	2	Multiple	11
1830	Who produces Tignanello wine?	Antinori	Banfi	Gaja	Capezzana	Antinori	"somm, wine, Europe, Location, Italy, producer"	2	Multiple	11
1831	Where is Tignanello wine produced?	Tuscany	Rioja	Mosel	Champagne	Tuscany	"somm, wine, Europe, Location, Italy, producer"	2	Multiple	11
1832	Where does Gaja produce wines?	Italy	Germany	Canada	Greece	Italy	"somm, wine, Europe, Location, Italy, producer"	2	Multiple	11
1833	What producer produces Basket Press Shiraz?	Rockford	Penfolds	Torbreck	Moss Wood	Rockford	"somm, wine, Location, Australia, Oceania, producer"	3	Multiple	11
1834	Where does Moss Wood produce its wines?	Australia	USA	Canada	England	Australia	"somm, wine, Location, Australia, Oceania, producer"	3	Multiple	11
1835	Where is Hill of Grace Shiraz produced?	Eden Valley	Coonawarra	Margaret River	Adelaide Hills	Eden Valley	"somm, wine, Location, Australia, Oceania, producer"	2	Multiple	11
1836	Who produces Hill of Grace Shiraz?	Henschke	Penfolds	Grosset	Cullen	Henschke	"somm, wine, Location, Australia, Oceania, producer"	2	Multiple	11
1837	What is a famous producer from Canberra District?	Clonakilla	Henschke	Giaconda	Leeuwin Estate	Clonakilla	"somm, wine, Location, Australia, Oceania, producer"	4	Multiple	11
1838	Where does Leeuwin Estate produce wines?	Margaret River	Barossa Valley	Eden Valley	Coonawarra	Margaret River	"somm, wine, Location, Australia, Oceania, producer"	3	Multiple	11
1839	What producer produces Grange?	Penfolds	Jim Barry	Mount Mary	Torbreck	Penfolds	"somm, wine, Location, Australia, Oceania, producer"	2	Multiple	11
1840	What is the ingredient of the Matador cocktail?	Tequila	Vodka	Gin	Brandy de Jerez	Tequila	"somm, cocktail"	4	Multiple	11
1841	What is the ingredient of the Bloody Mary cocktail?	Vodka	Gin	Rum	Cachasa	Vodka	"somm, cocktail"	2	Multiple	11
1842	What is the ingredient of the Boulevardier cocktail?	Bourbon	Vodka	Irish whiskey	Cognac	Bourbon	"somm, cocktail"	4	Multiple	11
1843	What is the ingredient of Mimosa?	Champagne	Ice wine	Porto	Fino Sherry	Champagne	"somm, cocktail"	2	Multiple	11
1844	What is the ingredient of the Americano cocktail?	Campari	Cachasa	Mezcal	Calvados	Campari	"somm, cocktail"	3	Multiple	11
1845	What is the ingredient of the Mai Tai cocktail?	Rum	Beer	Scotch whisky	Bourbon	Rum	"somm, cocktail"	3	Multiple	11
1846	What is the ingredient of the Moscow Mule cocktail?	Vodka	Rum	Canadian whisky	Bourbon	Vodka	"somm, cocktail"	4	Multiple	11
1847	What is the ingredient of the Black Russian cocktail?	Vodka	Gin	Rum	Cachasa	Vodka	"somm, cocktail"	2	Multiple	11
1848	"As a general rule, heavy wines go best with…"	Heavy food	Sweet food	Chicken-based food	Salats	Heavy food	"somm, food"	2	Multiple	11
1849	What would you pair with a dessert?	Canadian ice wine	Barolo	Penfolds Grange	New Zealand Sauvignon Blanc	Canadian ice wine	"somm, food"	2	Multiple	11
1850	What is the best way to handle spicy food with pairing wine and food?	Spicy foods with slightly sweet wines	Spicy foods with high tannin wines	Spicy foods with dry red wines	Spicy foods with high alcohol wines	Spicy foods with slightly sweet wines	"somm, food"	2	Multiple	11
1851	What two characteristics in wine are best when paired with dishes that have a high fat content?	Acid and tannins	Acid and oak-based flavours	Tannins and balance	Acid and long finish	Acid and tannins	"somm, food"	3	Multiple	11
1852	A vertical tasting is one where…	The same wine from several vintages is tasted	Several wines from the same vintages are tasted	Several wines from the same producer are tasted	The same grape is tasted from several regions	The same wine from several vintages is tasted	somm	2	Multiple	11
1853	A horizontal tasting in one where:	Several wines from the same vintages are tasted	The same wine from several vintages is tasted	Several wines from the same producer are tasted	The same grape is tasted from several regions	Several wines from the same vintages are tasted	somm	2	Multiple	11
1854	Purple hints in a red wine are signs of…	Youth	Long finish	Shiraz	High alcohol	Youth	somm	2	Multiple	11
1855	Sediments in a wine is typically a sign of…	Age	Long finish	Burgundy wine	Low acidity	Age	somm	2	Multiple	11
1856	What style of wine does Bodegas Muga make?	Tempranillo based wines	Syrah based wines	Gamay based wines	Zinfandel based wines	Tempranillo based wines	"somm, Location, wine, Europe, Spain, producer"	3	Multiple	11
1857	Cinzano is a form of…	Vermouth	Rum	Calvados	Scotch whisky	Vermouth	somm	2	Multiple	11
1858	Who produces the wine 'Monte Bello Estate’?	Ridge Vineyards	Screaming Eagle	Charles Krug	Mount Eden Vineyards	Ridge Vineyards	somm	2	Multiple	11
1859	A kilderkin of beer has many gallons?	18	10	25	36	18	"somm, beer"	3	Multiple	11
1860	In what country is the producer Craggy Range located?	New Zealand	Canada	USA	England	New Zealand	"somm, Location, Oceania, New Zealand, producer"	4	Multiple	11
1861	What style is the producer Inniskillin famous for?	Ice wine	Sherry	Sparkling wine	Madeira	Ice wine	"somm, Location, Canada, Americas, producer"	3	Multiple	11
1862	In what country does Bodega Norton produce wine?	Argentina	Brazil	Spain	Chile	Argentina	"somm, Location, Americas, Argentina, producer"	3	Multiple	11
1863	What is the country of origin of Aperol?	Italy	Germany	England	Belgium	Italy	somm	3	Multiple	11
1864	Sassicaia is an example of…	Super Tuscan wine	Grand cru wine	Ice wine	Vin Santo wine	Super Tuscan wine	somm	2	Multiple	11
1865	Where does Château Le Pin produces its wines?	Pomerol	Margaux	Médoc	Pessac-Léognan	Pomerol	"somm, Location, Europe, wine, France, Bordeaux, producer"	3	Multiple	11
1866	Evian is a brand of…	Water	Cocktail	Calvados	Armagnac	Water	somm	2	Multiple	11
1867	Perrier is a brand of…	Water	Prosecco	Gin	Vermouth	Water	somm	2	Multiple	11
1868	Appollinaris is a brand of sparkling water from…	"Ahr, Germany"	"Wachau, Austria"	"Trentino, Italy"	"Alsace, France"	"Ahr, Germany"	somm	3	Multiple	11
1869	Contrexéville is a brand of…	Water	Vinho Verde	Calvados	Ice wine	Water	somm	3	Multiple	11
1870	Henniez is a brand of sparkling water from…	Switzerland	Germany	Austria	France	Switzerland	somm	3	Multiple	11
1871	Hildon is a brand of sparkling water from…	England	Switzerland	Canada	Italy	England	somm	3	Multiple	11
1872	How would you greet the Queen?	 Your Majesty	Your Grace	My Lady	My Queen	 Your Majesty	somm	3	Multiple	11
1873	How would you greet royal princes and princesses?	Your Royal Highness	Your Grace	My Lord and My Lady	Your Eminence	Your Royal Highness	somm	3	Multiple	11
1874	How would you greet dukes and duchesses?	Your Grace	 Your Majesty	Your Eminence	My Lord and My Lady	Your Grace	somm	3	Multiple	11
1875	What is not an example of citrus liqueur?	Kahlua	Cointreau	Curacao	Grand Marnier	Kahlua	somm	2	Multiple	11
1876	What is Kahlua liqueur based on?	Coffee	Chocolate	Fruit	Cream	Coffee	somm	2	Multiple	11
1877	What is not an example of fruit liqueur?	Tia Maria	Midori	Grand Marnier	Cointreau	Tia Maria	somm	3	Multiple	11
1878	What liqueur is made from egg yolks?	Advocaat	Kahlua	Amaretto	Baileys	Advocaat	somm	2	Multiple	11
1879	What is not an example of cream-based liqueur?	Amaretto	Baileys	Amarula	Sherridans	Amaretto	somm	3	Multiple	11
1880	What country that produces Demerara rum?	Jamaica	Cuba	Guatemala	Puerto Rico	Jamaica	spirit	4	Multiple	11
1881	What is the basis for French 75?	Gin	Rum	Champagne	Rye Whiskey	Gin	"somm, cocktail"	4	Multiple	11
1882	What is the basis for Sazerac?	Rye Whiskey	Gin	Calvados	Beer	Rye Whiskey	"somm, cocktail"	2	Multiple	11
1883	What is the basis for Old Fashioned?	Rye Whiskey	Armagnac	Gin	Grappa	Rye Whiskey	"somm, cocktail"	2	Multiple	11
1884	Where is Screaming Eagle produced?	Oakville	St. Helena	Mt. Veeder	Rutherford	Oakville	"somm, Location, Americas, USA, California"	4	Multiple	11
1885	Where is Matakana?	"North from Auckland, New Zealand"	"South of Oakville, California, USA"	"East of Margaret River, Australia"	"West of Casablanca, Chile"	"North from Auckland, New Zealand"	"Location, wine, Oceania, New Zealand"	4	Multiple	11
1886	What is considered as one of the best Bordeaux vintages?	2010	2007	2002	1997	2010	"somm, wine, Location, Europe, France, Bordeaux"	4	Multiple	11
1887	What is considered as one of the best Bordeaux vintages?	1990	1991	1992	1993	1990	"somm, wine, Location, Europe, France, Bordeaux"	4	Multiple	11
1888	What is considered as one of the best Barolo vintages?	1990	2002	2012	1992	1990	"somm, wine, Location, Europe, Italy"	4	Multiple	11
1889	What is considered as one of the best Champagne vintages?	2008	2011	2010	2007	2008	"somm, wine, Location, Europe, France, Champagne"	4	Multiple	11
1890	What is considered as one of the best Porto vintages?	2011	2002	1996	1995	2011	"somm, wine, Location, Europe, Portugal"	4	Multiple	11
1891	What is considered as one of the best Porto vintages?	1977	1967	1960	1995	1977	"somm, wine, Location, Europe, Portugal"	4	Multiple	11
1892	What is considered as one of the best Hermitage vintages for red wines?	2016	2008	2002	2014	2016	"somm, wine, Location, Europe, France"	4	Multiple	11
1893	What is considered as one of the best  Napa Valley vintages?	1997	2000	1993	1988	1997	"somm, wine, Location, Americas, USA"	4	Multiple	11
1894	Who was the first sommelier to win the Krug Cup?	Fred Dame	Gerard Basset	Rajat Parr	Larry Stone	Fred Dame	somm	4	Multiple	11
1895	When was the first MS exam hold in the USA?	1986	1969	1972	1990	1986	somm	4	Multiple	11
1896	When was the first MS exam hold?	1969	1953	1986	1977	1969	somm	4	Multiple	11
1897	Where was the first MS exam hold?	UK	USA	Bordeaux	Paris	UK	somm	4	Multiple	11
1898	A red wine with acetobactor would likely…	Have volatile acidity	Have a deep red color	Be considered a low tannins wine	Have a burnt match aroma	Have volatile acidity	"somm, vini, wine, production"	4	Multiple	11
1899	What is an example of a fortified wine?	Porto	German ice wine	Red Bordeaux	Sancerre	Porto	"wine, fortified"	2	Multiple	11
1900	What is an example of a fortified wine?	Madeira	Carménère	Tannat	Corsica	Madeira	"wine, fortified"	2	Multiple	11
1901	What is typical for a fortified wine?	Alcohol level above 15% abv	High tannins level	Low acidity	Dark colour	Alcohol level above 15% abv	"wine, fortified"	2	Multiple	11
1902	Sherry is an example of…	Fortified wine	Sparkling wine	Sweet wine	Rosé wine	Fortified wine	"wine, fortified"	2	Multiple	11
1903	Sherry needs to be…	Fortified	Sweet	Oxidised	Low in acid	Fortified	"wine, fortified"	2	Multiple	11
1904	Sherry is produced in…	Spain	Italy	Portugal	Germany	Spain	"wine, fortified"	2	Multiple	11
1905	Madeira is produced in…	Portugal	Greece	Croatia	Chile	Portugal	"wine, fortified"	2	Multiple	11
1906	Porto is produced in…	Portugal	Greece	Spain	Australia	Portugal	"wine, fortified"	2	Multiple	11
1907	Banyuls and Porto are examples of…	Fortified wines	Red wines	Sparkling wines	Wines from Portugal	Fortified wines	"wine, fortified"	2	Multiple	11
1908	What grape is often used to produce Sherry?	Palomino	Grenache Blanc	Sauvignon Blanc	Viura	Palomino	"wine, fortified"	2	Multiple	11
1909	Marsala and Sherry are examples of…	Fortified wines	Ice wines	Wines from Greece	Vinho verde	Fortified wines	"wine, fortified"	2	Multiple	11
1910	Where is Porto produced?	Douro Valley	Mosel Valley	Tuscany	Catalonia	Douro Valley	"wine, fortified"	2	Multiple	11
1911	What is the name of fortified rise based alcoholic drink from Korea?	Gwaha-ju	Sake	Dosoju	Soju	Gwaha-ju	somm	4	Multiple	11
1912	Makgeolli is a Korean alcoholic drink made wine from…	Rice	Bamboo leaves	Peaches	Plums	Rice	somm	4	Multiple	11
1913	Baijiu is made in..	China	Chile	India	Fiji	China	somm	4	Multiple	11
1914	Atsukan is…	Heated sake	A glass to serve Baijiu in	Type of rice for making Mijiu	Japanese name for a sommelier	Heated sake	somm	4	Multiple	11
1915	Chinese equivalent for sake is called…	Mijiu	Makgeolli	Amazake	Huangjiu	Mijiu	somm	4	Multiple	11
1916	Huangjiu is an alcoholic drink made in…	China	India	Korea	Japan	China	somm	4	Multiple	11
1917	Original name of „yellow wine” is…	Huangjiu	Mijiu	Choujiu	Sake	Huangjiu	somm	4	Multiple	11
1918	Fino and Oloroso are styles of…	Sherry	Marsala	Madeira	Porto	Sherry	"wine, fortified"	2	Multiple	11
1919	Amontillado is a style of…	Sherry	Commandaria	Moscatel de Setúbal	Madeira	Sherry	"wine, fortified"	2	Multiple	11
1920	Which term is the odd one?	Sercial	Amontillado	Fino	Oloroso	Sercial	"wine, fortified"	2	Multiple	11
1921	Which term is the odd one?	Shiraz	Sherry	Porto	Commandaria	Shiraz	"wine, fortified"	2	Multiple	11
1922	Manzanilla is a type of…	Sherry	Prosecco	Marsala	Champagne	Sherry	"wine, fortified"	2	Multiple	11
1923	Manzanilla is a type of…	Sherry Fino	Sherry Oloroso	Sherry Pedro Ximénez	Sherry Amontillado	Sherry Fino	"wine, fortified"	2	Multiple	11
